"TITLE","YEAR","NAME"
"Pate III (The Godfather: Part III)                ","1990","Al Pacino"
"Patton                                            ","1970","George C. Scott"
"Paycheck                                          ","2003","Ben Affleck"
"Pearl Harbor                                      ","2001","Ben Affleck"
"Percy Jackson - Diebe im Olymp                    ","2010","Logan Lerman"
"Perfect Man, The                                  ","2005","Chris Noth"
"Perfect World                                     ","1993","Kevin Costner"
"Perfekte Verbrechen, Das (Fracture)               ","2007","Anthony Hopkins"
"Peter Pan (Walt Disney)                           ","2012","Wilfred Jackson"
"Pirates of the Caribbean II: Dead Man's Chest     ","2006","Johnny Depp"
"Pirates of the Caribbean III: At World's End      ","2007","Johnny Depp"
"Pirates of the Caribbean IV: Fremde Gezeiten      ","2011","Johnny Depp"
"Pitch Black                                       ","2000","Vin Diesel"
"Planes                                            ","2013","Dane Cook"
"Platoon                                           ","1986","Tom Berenger"
"Pledge, The                                       ","2001","Jack Nicholson"
"Plötzlich Prinzessin                              ","2001","Julie Andrews"
"Plötzlich Prinzessin 2                            ","2004","Anne Hathaway"
"Pocahontas                                        ","1995","Stimmen von Irene Bedard"
"Polar Express                                     ","2004","Tom Hanks"
"Poseidon                                          ","2006","Joshua Lucas"
"Prestige, The                                     ","2006","Christian Bale"
"Prince & Me, The                                  ","2004"," Eliza Benett"
"Prince & Me, The                                  ","2004","Julia Stiles"
"Princess of Thieves (Gwyn)                        ","2001","Keira Knightley"
"Prinzessin Fantaghiro                             ","1991","Alessandra Martines"
"Prometheus                                        ","2012","Michael Fassbender"
"Pulp Fiction                                      ","1994","John Travolta"
"ROM - 1. Staffel                                  ","2007","Lindsay Duncan"
"Rambo IV                                          ","2007","Sylvester Stallone"
"Rapunzel                                          ","2010","Matthew Gray Gubler"
"Ratatouille                                       ","2007","Stimmen von Patton Oswalt"
"Reader, The (Der Vorleser)                        ","2008","Ralph Fiennes"
"Red Planet                                        ","2000","Val Kilmer"
"Reservoir Dogs                                    ","1992","Harvey Keitel"
"Resident Evil                                     ","2002","Milla Jovovich"
"Resident Evil: Apocalypse                         ","2004","Milla Jovovich"
"Resident Evil: Extinction                         ","2007","Milla Jovovich"
"Rezept zum Verlieben (No Reservations)            ","2007","Catherine Zeta-Jones"
"Riddick - The Chronicles of Riddick               ","2004"," Van Wageningen"
"Riddick - The Chronicles of Riddick               ","2004","Vin Diesel"
"Rio                                               ","2011","Anne Hathaway"
"Rio 2                                             ","2004","Carlinhos Brown"
"Robin Hood: Prince of Thieves                     ","1991","Kevin Costner"
"Robots                                            ","2005","Bully"
"Romeo + Juliet                                    ","1996","Leonardo DiCaprio"
"Ronin                                             ","1998","Robert De Niro"
"Rubinrot                                          ","2013","Maria Ehrich"
"S.W.A.T.                                          ","2003","Samuel L. Jackson"
"Safe House                                        ","2012","Denzel Washington"
"Sahara                                            ","2005","Matthew McConaughey"
"Saving Private Ryan                               ","1998","Tom Hanks"
"Scharlachrote Buchstabe, Der (Scarlet Letter)     ","1995","Demi Moore"
"Schatz zum Verlieben, Ein (Fool's Gold)           ","2008","Matthew McConaughey"
"Schatzinsel, Die (PRO7)                           ","2007"," Jürgen Vogel"
"Schatzinsel, Die (PRO7)                           ","2007","François Goeske"
"Schatzplanet, Der                                 ","2002","Stimmen von Wolfgang Hess"
"Schindler's List                                  ","1993","Liam Neeson"
"Schneeweisschen und Rosenrot                      ","1978","Julie Juristova"
"Schuh des Manitu, Der                             ","2002","Michael ""Bully"" Herbig"
"Schwerter des Königs (Dungeon Siege Tale)         ","2008","Jason Statham"
"Schwester der Königin, Die                        ","2008","Natalie Portman"
"Score, The                                        ","2001","Robert De Niro"
"Se7en                                             ","1995","Brad Pitt"
"Seide (Silk)                                      ","2007","Michael Pitt"
"Selbst ist die Braut (The Proposal)               ","2009","Sandra Bullock"
"Sennentuntschi                                    ","2010","Roxane Mesquida"
"Sentinel, The                                     ","2006","Kiefer Sutherland"
"Shaft                                             ","1971","Richard Roundtree"
"Shooter                                           ","2007","Mark Wahlberg"
"Shrek                                             ","2001","Stimmen von Mike Myers"
"Shrek 2                                           ","2004","Stimmen von Mike Myers"
"Shutter Island                                    ","2010","Leo DiCaprio"
"Sideways                                          ","2004","Paul Giamatti"
"Sieben Leben (Seven Pounds)                       ","2008","Will Smith"
"Signs                                             ","2002","Mel Gibson"
"Silent Hill                                       ","2006","Radha Mitchell"
"Sin City                                          ","2005"," Benicio Del Toro"
"Sin City                                          ","2005","Bruce Willis"
"Sinn & Sinnlichkeit (Sense and Sensibility)       ","1995","Emma Thompson"
"Sissi                                             ","1955","Romy Schneider"
"Sissi, Schicksalsjahre einer Kaiserin             ","1957","Romy Schneider"
"Sissi, die junge Kaiserin                         ","1956","Romy Schneider"
"Sixth Sense                                       ","1999","Bruce Willis"
"Sky High                                          ","2005","Michael Angarano"
"Sleepers                                          ","1996","Jason Patric"
"Sleeping Dictionary (Selima & John)               ","2002","Hugh Dancy"
"Sliding Doors                                     ","1998","Gwyneth Paltrow"
"Slumdog Millionaire                               ","2008","Dev Patel"
"Snatch                                            ","2000","Benicio del Toro"
"Snow Falling on Cedars                            ","1999","Ethan Hawke"
"Snow White and the Huntsman                       ","2012","Chris Hemsworth"
"Snowpiercer                                       ","2013"," Ewen Bremner"
"Snowpiercer                                       ","2013"," Kang-ho Song"
"Snowpiercer                                       ","2013"," Octavia Spencer"
"Snowpiercer                                       ","2013","Chris Evans"
"So was wie Liebe (A Lot Like Love)                ","2005","Ashton Kutcher"
"Social Network, The                               ","2010","Rashida Jones"
"Solange du da bist (Just Like Heaven)             ","2005","Reese Witherspoon"
"Speed                                             ","1994","Keanu Reeves"
"Speed 2: Cruise Control                           ","1997","Sandra Bullock"
"Sphere                                            ","1998","Dustin Hoffman"
"Spider                                            ","2003","Ralph Fiennes"
"Spider-Man                                        ","2002","Tobey Maguire"
"Spider-Man 2                                      ","2004","Tobey Maguire"
"Spider-Man 3                                      ","2007","Tobey Maguire"
"Spiel mir das Lied vom Tod                        ","1969","Henry Fonda"
"Spurenwechsel (Changing Lanes)                    ","2002","Ben Affleck"
"Stalingrad                                        ","1993","Thomas Kretschmann"
"Star Wars I - The Phantom Menace                  ","1999"," R2-D2"
"Star Wars I - The Phantom Menace                  ","1999","Ewan McGregor"
"Star Wars II - Attack of the Clones               ","2002","Ewan McGregor"
"Star Wars III - Revenge of the Sith               ","2005","Ewan McGregor"
"Star Wars IV - A New Hope                         ","1977"," Chewbacca"
"Star Wars IV - A New Hope                         ","1977"," Darth Vader"
"Star Wars IV - A New Hope                         ","1977","Mark Hamill"
"Star Wars V - The Empire Strikes Back             ","1980"," Darth Vader"
"Star Wars V - The Empire Strikes Back             ","1980","Mark Hamill"
"Star Wars VI - Return of the Jedi                 ","1983"," Darth Vader"
"Star Wars VI - Return of the Jedi                 ","1983","Mark Hamill"
"Statement, The                                    ","2003","Michael Caine"
"Stay                                              ","2005","Ewan McGregor"
"Step up                                           ","2006","Channing Tatum"
"Sternwanderer, Der (Stardust)                     ","2007","Charlie Cox"
"Stolz & Vorurteil (Pride & Prejudice)             ","2005","Keira Knightley"
"Streben nach Glück (Pursuit of Happyness)         ","2006","Will Smith"
"Stumme Zeugin (Mute Witness)                      ","1995","Marina Sudina"
"Super 8                                           ","2011","Elle Fanning"
"Superman - The New Adventures of …(I)             ","1993","Dan Cain"
"Superman - The New Adventures of …(II)            ","1994","Dan Cain"
"Sweet Home Alabama                                ","2002","Reese Witherspoon"
"Syriana                                           ","2005","George Clooney"
"TRaumschiff Surprise - Periode I                  ","2004","Michael ""Bully"" Herbig"
"Tag des Falken, Der (Ladyhawke)                   ","1985","Michelle Pfeiffer"
"Taking Lives                                      ","2004","Angelina Jolie"
"Tatsächlich…Liebe (Love Actually)                 ","2003"," Keira Knightley"
"Tatsächlich…Liebe (Love Actually)                 ","2003","Alan Rickman"
"Tears of the Sun                                  ","2003","Bruce Willis"
"Terminal, The                                     ","2004","Tom Hanks"
"Terminator                                        ","1984","Arnold Schwarzenegger"
"Terminator 2: Judgment Day                        ","1991","Arnold Schwarzenegger"
"Terminator 3: Rise of the Machines                ","2003","A.Schwarzenegger"
"Teufel trägt Prada, Der (Devil Wears Prada)       ","2006","Anne Hathaway"
"Thelma & Louise                                   ","1991","Geena Davis"
"Thin Red Line                                     ","1998","Sean Penn"
"Third Wave (Die Verschwörung)                     ","2003","Jacob Eklund"
"Thirteen Days                                     ","2000","Kevin Costner"
"Tierisch Wild (Over the Hedge)                    ","2006","Stimmen von Bruce Willis"
"Tigerland                                         ","2000","Colin Farrell"
"Tim und Struppi                                   ","2011","Tim"
"Timeline                                          ","2003","Paul Walker"
"Tinker Bell: Legende vom Nimmerbiest              ","2014","Stimmen von Ginnifer Goodwin"
"Tinker Bell: Secret of the Wings                  ","2012","Stimmen von Megan Hilty"
"Tinker Bell: The Great Dairy Rescue               ","2010","Stimmen von Lucy Liu"
"Tintenherz (Inkheart)                             ","2007","Brendan Fraser"
"Titanic                                           ","1997","Leonardo DiCaprio"
"Tollkühne Hexe in ihrem fliegenden Bett, Die      ","1971","Angela Lansbury"
"Tomb Raider (Lara Croft)                          ","2001","Angelina Jolie"
"Traffic                                           ","2000","Benicio Del Toro"
"Training Day                                      ","2001","Denzel Washington"
"Trainspotting                                     ","1985","Ewan McGregor"
"Tribute von Panem (The Hunger Games)              ","2012","Stanley Tucci"
"Tribute von Panem II (Catching Fire)              ","2013","Jennifer Lawrence"
"Tribute von Panem III - Mockingjay Teil 1         ","2014","Jennifer Lawrence"
"Tricks (Matchstick Men)                           ","2003","Nicolas Cage"
"Tristan & Isolde                                  ","2006","James Franco"
"Tropic Thunder                                    ","2008","Ben Stiller"
"Troy                                              ","2004"," Peter O'Toole"
"Troy                                              ","2004","Brad Pitt"
"Twilight - Biss zum Morgengrauen                  ","2008","Kristen Stewart"
"Twilight II - Biss zur Mittagsstunde              ","2009","Kristen Stewart"
"Twilight III - Biss zum Abendrot                  ","2010","Kristen Stewart"
"Twilight IV - Biss zum Ende der Nacht Teil 1      ","2011","Kristen Stewart"
"U-571                                             ","2000","Matthew McConaughey"
"Ultraviolet                                       ","2006","Milla Jovovich"
"Unbarmherzigen Schwestern, Die (Magdalene Sisters)","2003","Geraldine McEwan"
"Unbequeme Wahrheit, Eine                          ","2006","Al Gore"
"Unbreakable                                       ","2000","Bruce Willis"
"Under the Tuscan Sun                              ","2003","Lindsay Duncan"
"Underworld I                                      ","2003","Kate Beckinsale"
"Underworld II: Evolution                          ","2006","Kate Beckinsale"
"Underworld III: Aufstand der Lykaner              ","2009","Rhona Mitra"
"Unglaublichen, Die (Incredibles)                  ","2004","Stimmen von Craig T. Nelson"
"Unleashed                                         ","2005","Jet Li"
"Untergang der Estonia (Baltic Storm)              ","2003","Donald Sutherland"
"Untergang, Der                                    ","2004","Bruno Ganz"
"V for Vendetta                                    ","2005","Natalie Portman"
"Van Helsing                                       ","2004","Hugh Jackman"
"Vanity Fair                                       ","2004","Reese Witherspoon"
"Verbotene Schlüssel, Der                          ","2005","Kate Hudson"
"Verdingbub, Der                                   ","2011","Katja Riemann. Stefan Kurt"
"Vergessenen, Die (The Forgotten)                  ","2004","Julianne Moore"
"Verliebt in Berlin                                ","2006","Alexandra Neldel"
"Versprechen eines Lebens, Das                     ","2014","Olga Kurylenko"
"Vier Federn, Die (The Four Feathers)              ","2002","Heath Ledger"
"Village, The                                      ","2004","Joaquin Phoenix"
"Vitus                                             ","2006","Teo Gheorghiu"
"Von Löwen und Lämmern (Lions for Lambs)           ","2007","Robert Redford"
"Vorahnung, Die (Premonition)                      ","2007","Sandra Bullock"
"Wag the Dog                                       ","1997","Dustin Hoffman"
"Wall-E                                            ","2008","Pixar Animation Studios - Fred Willard"
"Wallace & Gromit                                  ","1993","DreamWorks Home Entertainment - Wallace & Gromit"
"We Were Soldiers                                  ","2002","Mel Gibson"
"Wedding Date, The                                 ","2005","Debra Messing"
"When Trumpets Fade                                ","1998","Ron Eldard"
"While You Were Sleeping                           ","1995","Sandra Bullock"
"White House Down                                  ","2013","Channing Tatum"
"White Men Can't Jump                              ","1992","Wesley Snipes"
"White Oleander                                    ","2002","Michelle Pfeiffer"
"Wie werde ich ihn los - in 10 Tagen?              ","2003","Kate Hudson"
"Wimbledon                                         ","2004","Kirsten Dunst"
"Windtalkers                                       ","2002","Nicolas Cage"
"Wintersonnenwende                                 ","2007","Alexander Ludwig"
"Wir sind die Millers (We are the Millers)         ","2013","Jennifer Aniston"
"Witch Hunters (Hansel und Gretel)                 ","2013","Famke Janssen"
"Wo die Liebe hinfällt … (Rumor Has It …)          ","2005","Jennifer Aniston"
"Woman in Black, The                               ","2012","Daniel Radcliffe"
"World Trade Center                                ","2006","Nicolas Cage"
"World War Z                                       ","2013","Brad Pitt"
"Wunder von Bern, Das                              ","2003","Louis Klamroth"
"Yamakasi                                          ","2002","Chau Belle Dinh"
"xXx                                               ","2002","Vin Diesel"
"","",""
